Thread 7 bimodal basin characterization (n=4)
Run timestamp: 2026-04-23 23:08:55 UTC
quick_mode: False
basin_n: 4
path_a_threshold (C_range): 1.0
baseline_params: {'mu_sq': 1.0, 'alpha_phi': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'lambda_B': 0.5, 'eta_g': 1.0, 'xi_g': 0.1}
grid: N=256  L=10.0  dx=0.039062
integration: method=Radau  t_span=(0.0, 30.0)  max_step=2.0

Classification: Path A = fine-structure death (C_range < threshold, short survival, growth > 1)
                Path B = amplitude death     (C_range >= threshold, long survival, growth ≈ 1)

=== Phase 1: IC amplitude sweep  (n_points=30  seeds/A=5  A_range=[1.000e-03, 1.000e+01]) ===

        A | seed |    path |  C_range |     kappa |   spec | growth |  outcome
2.212e-01 |    1 |       A |   0.7622 |  602.8030 | 0.6275 | 1.2952 | terminal
2.212e-01 |    2 |       A |   0.3513 |    5.1913 | 0.5466 | 1.4110 | terminal
2.212e-01 |    3 |       B |   4.0538 |    4.6926 | 0.1886 | 1.2125 | terminal
2.212e-01 |    4 |       B |   4.4145 |    2.0281 | 0.1863 | 1.2146 | terminal
3.039e-01 |    0 |       B |   3.3638 |    4.4297 | 0.1830 | 1.1734 | terminal
3.039e-01 |    1 |       A |   0.8366 | 7180.6116 | 0.5848 | 1.2564 | terminal
3.039e-01 |    2 |       A |   0.3815 |    6.9214 | 0.5645 | 1.2420 | terminal
3.039e-01 |    3 |       B |  66.6384 |    1.8057 | 0.1995 | 1.0000 | terminal
3.039e-01 |    4 |       B |   1.8021 |    1.4487 | 0.1879 | 1.0000 | terminal
4.175e-01 |    0 |       B | 123.5289 |    1.9547 | 0.1796 | 1.0000 | terminal
4.175e-01 |    1 |       A |   0.9097 |  921.4572 | 0.5202 | 1.4443 | terminal
4.175e-01 |    2 |       A |   0.4136 |   10.6999 | 0.5796 | 1.2866 | terminal
4.175e-01 |    3 |       B |   3.2496 |    3.2594 | 0.1970 | 1.2089 | terminal
4.175e-01 |    4 |       B |   1.5428 |    1.4349 | 0.1864 | 1.0000 | terminal
5.736e-01 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
5.736e-01 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
5.736e-01 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
5.736e-01 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
5.736e-01 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
7.880e-01 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
7.880e-01 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
7.880e-01 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
7.880e-01 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
7.880e-01 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
1.083e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
1.083e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
1.083e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
1.083e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
1.083e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
1.487e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
1.487e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
1.487e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
1.487e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
1.487e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
2.043e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
2.043e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
2.043e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
2.043e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
2.043e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
2.807e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
2.807e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
2.807e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
2.807e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
2.807e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
3.857e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
3.857e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
3.857e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
3.857e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
3.857e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
5.298e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
5.298e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
5.298e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
5.298e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
5.298e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
7.279e+00 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
7.279e+00 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
7.279e+00 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
7.279e+00 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
7.279e+00 |    4 | unknown |      nan |       nan |    nan |    nan | diverged
1.000e+01 |    0 | unknown |      nan |       nan |    nan |    nan | diverged
1.000e+01 |    1 | unknown |      nan |       nan |    nan |    nan | diverged
1.000e+01 |    2 | unknown |      nan |       nan |    nan |    nan | diverged
1.000e+01 |    3 | unknown |      nan |       nan |    nan |    nan | diverged
1.000e+01 |    4 | unknown |      nan |       nan |    nan |    nan | diverged

Amplitude → path assignment (counts per A):
  A=1.000e-03  A:2 B:3
  A=1.374e-03  A:2 B:3
  A=1.887e-03  A:2 B:3
  A=2.593e-03  A:2 B:3
  A=3.562e-03  A:2 B:3
  A=4.894e-03  A:2 B:3
  A=6.723e-03  A:2 B:3
  A=9.237e-03  A:2 B:3
  A=1.269e-02  A:2 B:3
  A=1.743e-02  A:2 B:3
  A=2.395e-02  A:2 B:3
  A=3.290e-02  A:2 B:2 ?:1
  A=4.520e-02  A:2 B:3
  A=6.210e-02  A:2 B:3
  A=8.532e-02  A:2 B:3
  A=1.172e-01  A:2 B:3
  A=1.610e-01  A:2 B:3
  A=2.212e-01  A:2 B:3
  A=3.039e-01  A:2 B:3
  A=4.175e-01  A:2 B:3
  A=5.736e-01  A:0 B:0 ?:5
  A=7.880e-01  A:0 B:0 ?:5
  A=1.083e+00  A:0 B:0 ?:5
  A=1.487e+00  A:0 B:0 ?:5
  A=2.043e+00  A:0 B:0 ?:5
  A=2.807e+00  A:0 B:0 ?:5
  A=3.857e+00  A:0 B:0 ?:5
  A=5.298e+00  A:0 B:0 ?:5
  A=7.279e+00  A:0 B:0 ?:5
  A=1.000e+01  A:0 B:0 ?:5

Basin boundary estimate (amplitude axis):
  Note: 51 runs diverged (NaN in n=4 even-branch reconstruction). Large-amplitude ICs push C below the principal-branch floor; these amplitudes are outside the valid domain of the n=4 coarse-graining map.
  Path B present at lowest tested amplitude (A=1.000e-03).
  Boundary is below A_MIN; extend sweep downward.

=== Phase 2: IC wavenumber sweep  (A_fixed=1.000e-02  k0_max=10) ===

k0 | path | C_range |    kappa |   spec | growth |  outcome
-----------------------------------------------------------
 1 |    B |  1.2983 | 413.6016 | 0.3994 | 1.2190 | terminal
 2 |    B | 19.7841 |   3.0203 | 0.1773 | 1.0005 | terminal
 3 |    B | 42.5105 |   3.0247 | 0.1773 | 1.0000 | terminal
 4 |    B | 52.1292 |   3.0251 | 0.1773 | 1.0000 | terminal
 5 |    B | 59.2392 |   3.2024 | 0.1773 | 1.0000 | terminal
 6 |    B | 66.1019 |   3.0814 | 0.1773 | 1.0000 | terminal
 7 |    B | 72.7722 |   3.3113 | 0.1773 | 1.0000 | terminal
 8 |    A |  0.0614 |   1.0000 | 0.1772 | 1.0000 | terminal
 9 |    A |  0.0349 |   1.0000 | 0.1772 | 1.0000 | terminal
10 |    A |  0.0247 |   1.0000 | 0.1772 | 1.0000 | terminal

Wavenumber → path assignment:
  Path A (fine-structure death): k0 = [8, 9, 10]
  Path B (amplitude death):      k0 = [1, 2, 3, 4, 5, 6, 7]
